"FIPS","Population_12_14","Death_rate_12_14","Population_06_08","Death_rate_06_08","Pop_growth","Misery_growth","dem_2016","gop_2016","total_2016","dem_2008","gop_2008","total_2008","trump_shift","total_votes","state_abbr","county_name"
48203,68046,66.4,68839,67.3,-793,-0.899999999999991,7130,18712,26364,8887,17103,26158,0.0660317698826197,26261,"TX","Harrison County"
48209,154684,49.7,129607,62.3,25077,-12.6,33117,33730,71524,28431,29638,59052,-0.0058077112435676,65288,"TX","Hays County"
48213,95031,116.2,99371,71.7,-4340,44.5,5649,23574,29855,7913,20857,28993,0.0817368060076096,29424,"TX","Henderson County"
48215,72341,61.1,78402,50.8,-6061,10.3,118739,48608,172990,90261,39668,130784,-0.0148428723928222,151887,"TX","Hidalgo County"
48217,37526,108.7,39554,82.9,-2028,25.8,2535,10075,12906,3811,9264,13188,0.0904413474995566,13047,"TX","Hill County"
48221,67680,99.6,67811,56.4,-131,43.2,4001,21367,26120,5087,17299,22596,0.0695218540679694,24358,"TX","Hood County"
48227,31135,113.9,29961,92.2,1174,21.7,1768,6635,8692,2545,7029,9689,0.0554230597113086,9190.5,"TX","Howard County"
48231,103121,71.5,103143,71.3,-22,0.200000000000003,6301,23866,31185,8594,20573,29524,0.085777440950874,30354.5,"TX","Hunt County"
48233,25058,121.2,26370,69,-1312,52.2,854,7039,8126,1322,7361,8761,0.0440543892668787,8443.5,"TX","Hutchinson County"
48241,40748,46.4,41552,85.9,-804,-39.5,2582,10578,13351,3658,9022,12776,0.0922851965136683,13063.5,"TX","Jasper County"
48245,178785,97.6,190504,88.1,-11719,9.5,42404,42828,87363,44888,42905,88296,0.0137809398107817,87829.5,"TX","Jefferson County"
48251,188310,82.6,187691,47.7,619,34.9,10976,44370,57270,12912,36685,50050,0.0620222787813747,53660,"TX","Johnson County"
48253,20020,112.9,20966,112.8,-946,0.100000000000009,935,4815,5932,1528,4203,5808,0.104011440449728,5870,"TX","Jones County"
48257,122556,67.9,114241,46.9,8315,21,10265,29537,40979,11161,23735,35145,0.0619344713806981,38062,"TX","Kaufman County"
48259,43269,50.6,38856,58.5,4413,-7.9,3633,15663,19936,3599,12971,16746,0.0289223954157997,18341,"TX","Kendall County"
48265,48542,122.9,50580,85.1,-2038,37.8,4665,17658,23090,5570,16752,22556,0.0405523240430068,22823,"TX","Kerr County"
48277,56941,75.3,59666,56.6,-2725,18.7,3579,14546,18537,5243,12952,18362,0.090694017871526,18449.5,"TX","Lamar County"
48291,84929,89.9,87837,99.2,-2908,-9.3,4851,18856,24155,5991,15448,21626,0.0748208968189242,22890.5,"TX","Liberty County"
48299,23530,177.1,25334,89.6,-1804,87.5,1825,8283,10377,2250,7281,9629,0.0555217064578847,10003,"TX","Llano County"
48303,234514,82,227495,49.7,7019,32.3,27956,65566,98060,30486,66304,97534,0.0160462375364401,97797,"TX","Lubbock County"
48309,206097,74.3,203560,59.2,2537,15.1,27046,48245,78255,29998,49044,79674,0.0203001875592399,78964.5,"TX","McLennan County"
48329,127478,101.4,116586,62.8,10892,38.6,9993,36896,48753,9691,36155,46216,-0.00173876623865865,47484.5,"TX","Midland County"
48337,25365,141.7,27236,106.3,-1871,35.4,885,7526,8604,1597,6245,7950,0.0984276732134244,8277,"TX","Montague County"
48339,575863,67.3,515404,71.2,60459,-3.90000000000001,45744,150188,203083,36703,119884,157847,0.000924905288806177,180465,"TX","Montgomery County"
48347,54662,85.5,56326,81.2,-1664,4.3,6822,14751,22430,8393,14828,23391,0.0452114566862455,22910.5,"TX","Nacogdoches County"
48349,43327,70.2,45919,74.3,-2592,-4.09999999999999,3998,11984,16382,5400,10810,16321,0.0829712729720381,16351.5,"TX","Navarro County"
48355,186628,121.1,192295,90,-5667,31.1,49102,50704,103958,47912,52391,101230,-0.0143017785301167,102594,"TX","Nueces County"
48361,108971,94.6,110909,125.5,-1938,-30.9,5716,25385,31761,7646,21509,29406,0.0784651701907734,30583.5,"TX","Orange County"
48363,32725,90.6,34833,58,-2108,32.6,1700,8222,10175,2499,7264,9890,0.0846299796612905,10032.5,"TX","Palo Pinto County"
48367,166798,62.8,156773,52,10025,10.8,8329,46433,56413,10502,36974,47951,0.0691119862425442,52182,"TX","Parker County"
48373,50128,132.1,53398,102.5,-3270,29.6,7123,26587,34444,6230,13731,20149,0.100806327604328,27296.5,"TX","Polk County"
48375,95099,147.3,102228,90.9,-7129,56.4,7620,19499,28330,8939,20761,30013,0.0199926188889646,29171.5,"TX","Potter County"
48381,152304,61.5,145825,54.3,6479,7.2,8340,43379,53813,9468,41948,51832,0.0228889951276574,52822.5,"TX","Randall County"
48397,102264,56.3,89797,28.3,12467,28,9633,28396,39529,8492,23300,32066,0.0138045359471448,35797.5,"TX","Rockwall County"
48401,56316,72.4,56677,61.5,-361,10.9,3935,14675,18994,4983,13646,18722,0.0560407180348287,18858,"TX","Rusk County"
48407,31448,87.4,31835,114.4,-387,-27,2034,8050,10305,2721,6151,8958,0.104989548567506,9631.5,"TX","San Jacinto County"
48409,42741,103.5,47109,83.6,-4368,19.9,7825,13004,21513,8854,12404,21396,0.0408238817145601,21454.5,"TX","San Patricio County"
48423,204806,74.9,198274,64.4,6532,10.5,22128,58631,83161,23726,55187,79561,0.0266597997437246,81361,"TX","Smith County"
48439,1645434,70.4,1610003,57.4,35431,13,288001,345683,662832,274880,348420,628553,-0.0134792383890744,645692.5,"TX","Tarrant County"
48441,130728,108.6,132343,65.4,-1615,43.2,10047,33172,45266,12690,34317,47439,0.0374925912972068,46352.5,"TX","Taylor County"
48451,98569,69.1,96347,65.4,2222,3.69999999999999,9117,27376,38104,11158,27362,38861,0.0398389708104591,38482.5,"TX","Tom Green County"
48453,1074164,71,928488,60,145676,11,306475,126750,462511,254017,136981,397714,-0.0577636870815973,430112.5,"TX","Travis County"
48459,51298,101.4,51133,60.5,165,40.9,2378,13198,15918,3790,11222,15164,0.0997939193586066,15541,"TX","Upshur County"
48467,67899,101.9,70205,69.5,-2306,32.4,2792,18436,21689,4505,15734,20395,0.0910656471819008,21042,"TX","Van Zandt County"
48469,67496,101.5,68642,56,-1146,45.5,8843,21253,31032,9832,19878,29931,0.0371059238955481,30481.5,"TX","Victoria County"
48471,62208,61.9,59767,64.9,2441,-3.00000000000001,6085,12878,19683,7334,11623,19146,0.0659875153384419,19414.5,"TX","Walker County"
48473,33030,64.5,32186,93,844,-28.5,5744,10525,16715,7153,8265,15508,0.110874144332442,16111.5,"TX","Waller County"
48485,137266,120.8,140237,99,-2971,21.8,8752,27609,37913,13868,31731,45982,0.063432025958442,41947.5,"TX","Wichita County"
48491,499825,52.4,426878,36.2,72947,16.2,84252,104029,200524,67691,88323,158403,-0.0136023673173685,179463.5,"TX","Williamson County"
48493,43487,54.9,40035,59.1,3452,-4.2,4790,13991,19255,5362,10904,16366,0.0745996652885018,17810.5,"TX","Wilson County"
48497,77632,60.9,77620,50.2,12,10.7,3412,20655,24661,4471,15973,20639,0.0769240820299509,22650,"TX","Wise County"
48499,50497,100.8,53498,91.1,-3001,9.7,2624,15681,18646,4010,13658,17784,0.0836151909167214,18215,"TX","Wood County"
48503,21910,115.2,22711,124.8,-801,-9.59999999999999,873,6587,7658,1303,5942,7305,0.0628240424661919,7481.5,"TX","Young County"
49003,63250,85.1,58943,56.6,4307,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49005,126396,62.9,115041,44.6,11355,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49007,26450,235.6,26490,121.7,-40,113.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49011,404170,63,364975,61.5,39195,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49021,53827,82.2,49574,78.4,4253,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49035,1286647,95.5,1197185,74.7,89462,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49039,31839,110.7,28674,86,3165,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49041,26760,117.6,25809,105.4,951,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49043,57084,65.8,53437,47,3647,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49045,76227,100.5,68556,77.6,7671,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49047,43055,97.2,35853,76.9,7202,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49049,583870,62.7,501863,58.9,82007,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49053,165536,94.9,149749,60.7,15787,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49057,286532,99.7,263769,84.2,22763,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50001,54991,53.3,56605,38.5,-1614,14.8,11217,5297,17592,13202,5667,19238,0.0204242636357931,18415,"VT","Addison County"
50003,53671,64.8,56347,46,-2676,18.8,9539,5925,16345,12524,6133,19129,0.0544241531460434,17737,"VT","Bennington County"
50005,47313,54.2,48625,56,-1312,-1.8,6445,5533,12966,8900,5472,14728,0.0811898769601584,13847,"VT","Caledonia County"
50007,231653,55.9,228120,45.2,3533,10.7,54463,18298,77263,59611,22237,83440,-0.0202056651612186,80351.5,"VT","Chittenden County"
50011,77524,59.8,76321,57.6,1203,2.2,9351,8752,19373,13179,7853,21460,0.110072365062378,20416.5,"VT","Franklin County"
50017,46439,72.5,47411,36.8,-972,35.7,7522,4997,13464,9799,5047,15179,0.0591963962587725,14321.5,"VT","Orange County"
50019,41365,68.8,43078,55.6,-1713,13.2,5181,5158,10988,7998,4482,12771,0.139753091356849,11879.5,"VT","Orleans County"
50021,94232,63.3,99854,67.2,-5622,-3.90000000000001,13629,12471,27660,19355,11584,31617,0.103401922135994,29638.5,"VT","Rutland County"
50023,93641,58.6,96196,41.2,-2555,17.4,18594,7993,28654,22324,9129,32200,0.0103930648281809,30427,"VT","Washington County"
